,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0
423,Benny Waters,[X] died in [Y] .,Columbia,"Benny Waters (born Benjamin Waters; January 23, 1902, Brighton, Baltimore, Maryland – August 11, 1998, [MASK]) was a jazz saxophonist and clarinetist known in part for the longevity of his career.","Benny Waters (born Benjamin Waters; January 23, 1902, Brighton, Baltimore, Maryland – August 11, 1998, Columbia) was a jazz saxophonist and clarinetist known in part for the longevity of his career.","['Benny Waters (born Benjamin Waters; January 23, 1902, Brighton, Baltimore, Maryland – August 11, 1998, Columbia) was a jazz saxophonist and clarinetist known in part for the longevity of his career.']","['Benny Waters (born Benjamin Waters; January 23, 1902, Brighton, Baltimore, Maryland – August 11, 1998, Columbia) was a jazz saxophonist and clarinetist known in part for the longevity of his career.']"
424,Sviatoslav Knushevitsky,[X] died in [Y] .,Moscow,"The concerto was written for Sviatoslav Knushevitsky, one of Myaskovsky's great champions, who premiered it in [MASK] on 17 March 1945.","The concerto was written for Sviatoslav Knushevitsky, one of Myaskovsky's great champions, who premiered it in Moscow on 17 March 1945.",,
425,Chen Chong Swee,[X] died in [Y] .,Singapore,"Chen Chong Swee (Chinese: 陈宗瑞; pinyin: Chén ZōngRuì) was a Singaporean watercolourist belonging to the pioneer generation of artists espousing the Nanyang-styled painting unique to [MASK], at the turn of the 20th century.","Chen Chong Swee (Chinese: 陈宗瑞; pinyin: Chén ZōngRuì) was a Singaporean watercolourist belonging to the pioneer generation of artists espousing the Nanyang-styled painting unique to Singapore, at the turn of the 20th century.","['chen chong swee chinese pinyin chn zngru was a singaporean watercolourist belonging to the pioneer generation of artists who adopted the nanyang-style painting unique to singapore at the turn of the 20th', 'chen chong swee chinese pinyin chn zngru was a singaporean watercolourist belonging to the pioneer generation of artists promoting the nanyang-styled painting which was unique in singapore at the turn of the 20th century']","['chen chong swee chinese pinyin chn zngru was a singaporean watercolourist belonging to the pioneer generation of artists who adopted the nanyang-style painting unique to singapore at the turn of the 20th', 'chen chong swee chinese pinyin chn zngru was a singaporean watercolourist belonging to the pioneer generation of artists promoting the nanyang-styled painting which was unique in singapore at the turn of the 20th century']"
426,Edward Leedskalnin,[X] died in [Y] .,Miami,"Edward Leedskalnin (modern Latvian: Edvards Liedskalniņš) (January 12, 1887, Stāmeriena parish, Livonia, Russian Empire; December 7, 1951, [MASK]) was an eccentric Latvian emigrant to the United States and amateur sculptor who single-handedly built the monument known as Coral Castle in Florida.","Edward Leedskalnin (modern Latvian: Edvards Liedskalniņš) (January 12, 1887, Stāmeriena parish, Livonia, Russian Empire; December 7, 1951, Miami) was an eccentric Latvian emigrant to the United States and amateur sculptor who single-handedly built the monument known as Coral Castle in Florida.",,
427,Joe Bradford,[X] died in [Y] .,Birmingham,"Joe Bradford, the former England and [MASK] footballer was born here in 1901.","Joe Bradford, the former England and Birmingham footballer was born here in 1901.","['Joe Bradford, the former England and Birmingham footballer was born here in 1901.']","['Joe Bradford, the former England and Birmingham footballer was born here in 1901.']"
428,Karolos Koun,[X] died in [Y] .,Athens,"Karolos Koun (Kuhn) (Greek: Κάρολος Κουν; September 13, 1908, Bursa – February 14, 1987, [MASK]) was a Greek theater director, widely known for his lively staging of ancient Greek plays.","Karolos Koun (Kuhn) (Greek: Κάρολος Κουν; September 13, 1908, Bursa – February 14, 1987, Athens) was a Greek theater director, widely known for his lively staging of ancient Greek plays.","['Karolos Koun (Kuhn) (Greek: Κάρολος Κουν; September 13, 1908, Bursa – February 14, 1987, Athens) was a Greek theater director, widely known for his lively staging of ancient Greek plays.']","['Karolos Koun (Kuhn) (Greek: Κάρολος Κουν; September 13, 1908, Bursa – February 14, 1987, Athens) was a Greek theater director, widely known for his lively staging of ancient Greek plays.']"
429,George Alexander Macfarren,[X] died in [Y] .,London,"She was born in [MASK], and in 1846 married John Macfarren, brother of composer George Alexander Macfarren.","She was born in London, and in 1846 married John Macfarren, brother of composer George Alexander Macfarren.","['She was born in London, and in 1846 married John Macfarren, brother of composer George Alexander Macfarren.']","['She was born in London, and in 1846 married John Macfarren, brother of composer George Alexander Macfarren.']"
430,Abd al-Karim Qasim,[X] died in [Y] .,Baghdad,"Shortly after his arrival in [MASK], Brigadier Abd al-Karim Qasim overthrew the regime in the bloody military coup known as the 14 July Revolution.","Shortly after his arrival in Baghdad, Brigadier Abd al-Karim Qasim overthrew the regime in the bloody military coup known as the 14 July Revolution.",,
431,Karl Stauffer-Bern,[X] died in [Y] .,Florence,"Karl Stauffer, known as Karl Stauffer-Bern (2 September 1857, Trubschachen - 24 January 1891, [MASK]) was a Swiss painter, etcher and sculptor.","Karl Stauffer, known as Karl Stauffer-Bern (2 September 1857, Trubschachen - 24 January 1891, Florence) was a Swiss painter, etcher and sculptor.","['Karl Stauffer, known as Karl Stauffer-Bern (2 September 1857, Trubschachen - 24 January 1891, Florence) was a Swiss painter, etcher and sculptor.']","['Karl Stauffer, known as Karl Stauffer-Bern (2 September 1857, Trubschachen - 24 January 1891, Florence) was a Swiss painter, etcher and sculptor.']"
432,William Worrall Mayo,[X] died in [Y] .,Rochester,The Mayo Civic Center - named for William Worrall Mayo - is a multi-purpose event facility in [MASK].,The Mayo Civic Center - named for William Worrall Mayo - is a multi-purpose event facility in Rochester.,['the mayo civic center - named for william worrall mayo - is a multi-purpose event facility in rochester'],['the mayo civic center - named for william worrall mayo - is a multi-purpose event facility in rochester']
433,Michael Wolgemut,[X] died in [Y] .,Nuremberg,"His son Wilhelm Pleydenwurff, born in 1460, operated with Michael Wolgemut for the woodcuts of Hartmann Schedel's [MASK] Chronicle.Another son, Sebald, settled in Eisleben, his profession is unknown.","His son Wilhelm Pleydenwurff, born in 1460, operated with Michael Wolgemut for the woodcuts of Hartmann Schedel's Nuremberg Chronicle.Another son, Sebald, settled in Eisleben, his profession is unknown.","[""His son Wilhelm Pleydenwurff, born in 1460, operated with Michael Wolgemut for the woodcuts of Hartmann Schedel's Nuremberg Chronicle.Another son, Sebald, settled in Eisleben, his profession is unknown.""]","[""His son Wilhelm Pleydenwurff, born in 1460, operated with Michael Wolgemut for the woodcuts of Hartmann Schedel's Nuremberg Chronicle.Another son, Sebald, settled in Eisleben, his profession is unknown.""]"
434,"Hugh d'Avranches, 1st Earl of Chester",[X] died in [Y] .,Chester,"Hugh Lupus was appointed Earl of [MASK] and he appointed his cousin, Nigel of Cotentin, as the first Baron of Halton.","Hugh Lupus was appointed Earl of Chester and he appointed his cousin, Nigel of Cotentin, as the first Baron of Halton.","['hugh lupus was appointed earl of chester and he appointed his cousin nigel of cotentin as first baron of halton', 'hugh lupus was appointed earl of chester and he appointed his cousin nigel of cotentin to the first baron of halton', 'hugh lupus was appointed earl of chester and he appointed his cousin nigel of cotentin as the first baron of halton']","['hugh lupus was appointed earl of chester and he appointed his cousin nigel of cotentin as first baron of halton', 'hugh lupus was appointed earl of chester and he appointed his cousin nigel of cotentin to the first baron of halton', 'hugh lupus was appointed earl of chester and he appointed his cousin nigel of cotentin as the first baron of halton']"
435,Gregory XVI,[X] died in [Y] .,Rome,"In 1839 he therefore went to [MASK], consulted Pope Gregory XVI on the matter, and finally received the habit on 15 May 1841.","In 1839 he therefore went to Rome, consulted Pope Gregory XVI on the matter, and finally received the habit on 15 May 1841.",,
436,Douglas Lloyd Campbell,[X] died in [Y] .,Winnipeg,John Douglas Campbell MacLean (born 24 March 1929 in [MASK]) was a Progressive Conservative party member of the House of Commons of Canada.,John Douglas Campbell MacLean (born 24 March 1929 in Winnipeg) was a Progressive Conservative party member of the House of Commons of Canada.,['maclean born march 24 1929 in winnipeg was a progressive conservative member of the canada house of commons'],['maclean born march 24 1929 in winnipeg was a progressive conservative member of the canada house of commons']
437,Henry Pickering Bowditch,[X] died in [Y] .,Boston,"Bowditch was born in [MASK] into the Massachusetts Bowditch family of mathematician Nathaniel Bowditch, his grandfather, and physiologist Henry Pickering Bowditch, his brother, son of Jonathan Ingersoll Bowditch and Lucy Orme Nichols.","Bowditch was born in Boston into the Massachusetts Bowditch family of mathematician Nathaniel Bowditch, his grandfather, and physiologist Henry Pickering Bowditch, his brother, son of Jonathan Ingersoll Bowditch and Lucy Orme Nichols.","['Bowditch was born in Boston into the Massachusetts Bowditch family of mathematician Nathaniel Bowditch, his grandfather, and physiologist Henry Pickering Bowditch, his brother, son of Jonathan Ingersoll Bowditch and Lucy Orme Nichols.']","['Bowditch was born in Boston into the Massachusetts Bowditch family of mathematician Nathaniel Bowditch, his grandfather, and physiologist Henry Pickering Bowditch, his brother, son of Jonathan Ingersoll Bowditch and Lucy Orme Nichols.']"
